"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"1",1,30000,0.3,0.01,-1,1,-0.00265399527294362,-0.0272206863338682,0.0351392592566003,100,-0.68247805275174,"EB"
"2",2,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"3",3,30000,0.3,0.01,-1,1,-0.00050317440869095,-0.0183171369887645,-0.00457526825881377,100,-0.960038852032875,"EB"
"4",4,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"5",5,30000,0.3,0.01,-1,1,-0.00225956710931689,-0.0311966072532378,0.0206166458224494,100,-0.841673248916036,"EB"
"6",6,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"7",7,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"8",8,30000,0.3,0.01,-1,1,-0.00479459497426434,-0.04557880654019,100,-0.0298073553795266,-0.843662333603401,"EB"
"9",9,30000,0.3,0.01,-1,1,-0.000621965982453617,-0.0220474571274865,-0.00308143510336763,100,-0.98496306356732,"EB"
"10",10,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"11",11,30000,0.3,0.01,-1,1,-0.00206789943294288,-0.030164380833169,0.0191949831209709,100,-0.848770554541525,"EB"
"12",12,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"13",13,30000,0.3,0.01,-1,1,-0.000801477075252462,-0.025004663136846,0.00352422057639339,100,-0.98473992713001,"EB"
"14",14,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"15",15,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"16",16,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"17",17,30000,0.3,0.01,-1,1,-0.000777537277454499,-0.0233244598505351,-0.00359823706399233,100,-0.968780897288227,"EB"
"18",18,30000,0.3,0.01,-1,1,-0.000777451180557046,-0.0273317872762378,-0.000556578765523771,100,-0.999601702916483,"EB"
"19",19,30000,0.3,0.01,-1,1,-0.000173149857863347,-0.00638524994330088,-0.0103659560863243,100,-0.617063671602678,"EB"
"20",20,30000,0.3,0.01,-1,1,-0.001222754514588,-0.0271058705945023,0.00900222503831114,100,-0.937842925955583,"EB"
"21",21,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"22",22,30000,0.3,0.01,-1,1,-0.000808187189068167,-0.0262655147913313,0.00225219118594183,100,-0.993762919707737,"EB"
"23",23,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"24",24,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"25",25,30000,0.3,0.01,-1,1,-0.000554659875437302,-0.0198340632411105,-0.00406547586403433,100,-0.971063651747956,"EB"
"26",26,30000,0.3,0.01,-1,1,-0.000641682935964904,-0.0218622460527629,-0.00374447193344674,100,-0.978616769256356,"EB"
"27",27,30000,0.3,0.01,-1,1,-0.000714019080773211,-0.0241139103505065,0.00274817328368648,100,-0.989533322743321,"EB"
"28",28,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"29",29,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"30",30,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"31",31,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"32",32,30000,0.3,0.01,-1,1,-0.000933736794455806,-0.0290316116787238,0.00156557477410412,100,-0.997381909565565,"EB"
"33",33,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"34",34,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"35",35,30000,0.3,0.01,-1,1,-0.000723286068997899,-0.0264684981527843,-0.000428899939900147,100,-0.999745732162627,"EB"
"36",36,30000,0.3,0.01,-1,1,-0.00210471946550152,-0.0323134788367004,100,-0.0164104669189485,-0.886562414527533,"EB"
"37",37,30000,0.3,0.01,-1,1,-0.000590357915896231,-0.0150285480660216,-0.0121269419148886,100,-0.800571460836529,"EB"
"38",38,30000,0.3,0.01,-1,1,-0.00113834862910399,-0.0298671355930166,0.0041233087084176,100,-0.985284398464377,"EB"
"39",39,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"40",40,30000,0.3,0.01,-1,1,-0.000555506407025243,-0.0227291410772784,-0.000855565830274563,100,-0.998684030282618,"EB"
"41",41,30000,0.3,0.01,-1,1,-0.001602352913381,-0.0354431576514354,0.00488296630453411,100,-0.985337956849051,"EB"
"42",42,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"43",43,30000,0.3,0.01,-1,1,-0.000888411726982268,-0.0293698823883803,0.000439595486517726,100,-0.999782530822992,"EB"
"44",44,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"45",45,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"46",46,30000,0.3,0.01,-1,1,-0.000506125628177373,-0.0189009787415921,-0.00393838416577987,100,-0.970264983573235,"EB"
"47",47,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"48",48,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"49",49,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"50",50,30000,0.3,0.01,-1,1,-0.00204522351531151,-0.0309464269058943,0.0175713690691463,100,-0.868837684863135,"EB"
"51",51,30000,0.3,0.01,-1,1,-0.000901144256836255,-0.0197197806237383,0.0129888490841329,100,-0.842305465599829,"EB"
"52",52,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"53",53,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"54",54,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"55",55,30000,0.3,0.01,-1,1,-0.000710968464871155,-0.0252031451700035,-0.0015031841839539,100,-0.996831921063713,"EB"
"56",56,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"57",57,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"58",58,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"59",59,30000,0.3,0.01,-1,1,-0.000347561446464495,-0.0123565534360951,-0.00788557402568911,100,-0.848241049111371,"EB"
"60",60,30000,0.3,0.01,-1,1,-0.000229589962882659,-0.00764723913293671,-0.0111876779025629,100,-0.647180576784623,"EB"
"61",61,30000,0.3,0.01,-1,1,-0.0009893097795292,-0.0277499443282483,0.00395046503003489,100,-0.984470169968501,"EB"
"62",62,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"63",63,30000,0.3,0.01,-1,1,-0.000402044011791364,-0.0174484055686529,-0.00279673562490165,100,-0.980916360273393,"EB"
"64",64,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"65",65,30000,0.3,0.01,-1,1,-0.00105323056309455,-0.0296625860594991,0.00292222584722751,100,-0.991957387977022,"EB"
"66",66,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"67",67,30000,0.3,0.01,-1,1,-0.000687439826193209,-0.0259767557010035,0.000243448211723833,100,-0.999913793294601,"EB"
"68",68,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"69",69,30000,0.3,0.01,-1,1,-0.000708762678614244,-0.0245704464411195,-0.00213784964286415,100,-0.993592893382494,"EB"
"70",70,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"71",71,30000,0.3,0.01,-1,1,-0.00137972842908501,-0.0294363017597565,0.00871768084153883,100,-0.947793788816593,"EB"
"72",72,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"73",73,30000,0.3,0.01,-1,1,-0.00281455420466198,-0.0301014393073519,0.0317004369259789,100,-0.736896166265843,"EB"
