"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00115729037195413,-0.0256027769465009,0.00354266082984285,-0.0118888591793729,-0.920982280994678,0,0.00084981197794851,0.00751124644146291,0.0103840619454611,0.0205557255704021,0.106310990722736,"EB"
"101",3e+05,0.3,0.01,-1,0.65180538416128,-6.46898033329839e-06,-0.000908226292561112,0.000142333614632405,-0.000736961264385651,-0.400860386463468,0.0177830167629318,9.17405918077756e-07,0.000108364537823565,0.000135857972760838,0.000877008650401785,0.0344451827773453,"EB"
"201",30000,0.8,0.01,-1,0.945548042977384,-0.000384369894332012,-0.0121953185488555,0.00514693138319635,0.0042601188186678,-0.804920291998767,0.0509635099837297,0.000120975458423595,0.00235370559790321,0.00257153353750557,0.0127834110114245,0.0651930309410823,"EB"
"301",3e+05,0.8,0.01,-1,0.557671265382907,-1.71768694874127e-06,-0.000239684922617121,8.03377893475624e-05,-0.000131610993205813,-0.125088487439961,0.0184176565924781,3.01409226887355e-07,4.18608244708505e-05,7.94811598985762e-05,0.000279480050290815,0.0207706873166458,"EB"
"401",30000,0.3,0.001,-1,0.592636341780246,-4.59929252042125e-05,-0.00194860561066291,0.00097157344251777,0.000874369382797848,-0.271702041001134,0.0974805750861178,2.82653389914265e-05,0.0011344617745532,0.00141912508715685,0.0109233805087163,0.156530021204264,"EB"
"501",3e+05,0.3,0.001,-1,0.363222805284505,2.01158613475897e-08,2.52355322284265e-06,-5.52843076402709e-05,1.41049992189492e-06,0.00171997173756522,0.0299828207772227,4.48238335635195e-07,5.83945382540537e-05,0.000192970739163344,0.000392469443943932,0.0307295674234514,"EB"
"601",30000,0.8,0.001,-1,0.462171066301048,-9.04562039409253e-06,-0.000389958038919878,0.000161900519643549,-0.00198775729563254,-0.0623965490899461,0.0685359759133773,1.13006177721442e-05,0.000473619252923051,0.000960247865940774,0.00290219524277799,0.079890121346589,"EB"
"701",3e+05,0.8,0.001,-1,0.327713371994237,2.07708238619275e-07,2.64481485085375e-05,-0.000123832575076056,0.000125175756868848,0.0138237932287663,0.027447116063994,3.34286874761938e-07,4.25270697368797e-05,0.000185103214915156,0.000338117567079308,0.0220299540931997,"EB"
"801",30000,0.3,0.01,0,1,-0.00129502848320017,-0.0270075396729325,0.00375390088112258,-0.0407310837757396,-0.944153342476527,0,0.00180872822161898,0.0101684331554892,0.00907334348431326,NA,0.118973542305156,"EB"
"901",3e+05,0.3,0.01,0,0.653396413317683,-4.68552208345967e-06,-0.000772028570131364,0.000146297230989299,-0.00148576124369954,-0.400279892185964,0.0192800568852605,3.99245986812285e-07,5.90209810888076e-05,0.000126302178909136,0.00130210254820157,0.0251360286499184,"EB"
"1001",30000,0.8,0.01,0,0.950880427948692,-0.000316327953837257,-0.0114387421282201,0.00403698477053119,-0.0149508504596298,-0.82510534431517,0.0536304087798247,9.16549082433896e-05,0.00183559566824093,0.00294020050844957,0.0223049237536937,0.0728102160593156,"EB"
"1101",3e+05,0.8,0.01,0,0.540789916269829,-1.12018174384074e-06,-0.000180726801098814,0.000103707845985416,-0.000241378653849302,-0.110066300896206,0.0287194821969334,1.3675845038249e-07,2.14103098205464e-05,6.44804074907631e-05,0.000365634537156694,0.0122230986178533,"EB"
"1201",30000,0.3,0.001,0,0.626351299080566,-3.43687552772863e-05,-0.00174483982972294,0.00114790853120973,0.0159159054321795,-0.291439321919315,0.087427439250384,1.6721689034896e-05,0.000792632143382298,0.00136165053327763,0.00838901706713984,0.131709794901829,"EB"
"1301",3e+05,0.3,0.001,0,0.354667724008609,-1.43872715783986e-07,-2.08969788981493e-05,-3.12301069489179e-05,-0.000273642563790086,-0.0118778819217451,0.0317289397217993,2.50697253441511e-07,3.66951649674773e-05,0.000150530551830682,0.000454959197572928,0.0213932703985503,"EB"
"1401",30000,0.8,0.001,0,0.436487618024613,-5.75449548651202e-06,-0.000290477543649127,-2.30927389412965e-06,-0.00287522775265318,-0.0549210565140269,0.0683948062644494,7.18679339808453e-06,0.000347889451485146,0.000851020710165135,0.00375965246858126,0.0672643321734054,"EB"
