"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"1",1,30000,0.3,0.01,-1,1,-0.0230115149717744,-0.131774088523813,0.0186729684214161,0.000755343604279692,-0.980438296099359,"EB"
"2",2,30000,0.3,0.01,-1,1,-0.0205001423331417,-0.131965716154852,0.00926490244269834,-0.00675208029694935,-0.993378747074024,"EB"
"3",3,30000,0.3,0.01,-1,1,-0.0210558774244,-0.135343057199184,-0.00142030907139746,-0.00193003141060066,-0.995163860882219,"EB"
"4",4,30000,0.3,0.01,-1,1,-0.023323712482892,-0.140215896742617,0.0094938829323161,-0.00728614493563287,-0.992737153523188,"EB"
"5",5,30000,0.3,0.01,-1,0.997991967871486,-0.0220583979889569,-0.135560948984078,0.0015234404095597,-0.00270930235376786,-0.991709875103544,"EB"
"6",6,30000,0.3,0.01,-1,1,-0.0270517351607734,-0.151724921638974,0.00516702998844959,-0.00894528939950288,-0.993518231425027,"EB"
"7",7,30000,0.3,0.01,-1,1,-0.0235963295448113,-0.140319643447699,0.00446571010970976,-0.00807428785215382,-0.991854220857485,"EB"
"8",8,30000,0.3,0.01,-1,1,-0.024943571912494,-0.142272583132225,0.00868918697963051,-0.0108049563913011,-0.989170932928559,"EB"
"9",9,30000,0.3,0.01,-1,0.997983870967742,-0.0248330199587166,-0.148494425580511,0.00461225468686064,-0.00212335780142734,-0.996477873673141,"EB"
"10",10,30000,0.3,0.01,-1,1,-0.0230724211002731,-0.143853966537578,0.00136185278770163,-0.00272998239273317,-0.997046687454773,"EB"
"11",11,30000,0.3,0.01,-1,1,-0.0221569238133298,-0.136311716454366,0.00891509406035404,-0.00879666422533372,-0.992294348396319,"EB"
"12",12,30000,0.3,0.01,-1,1,-0.0249526183433927,-0.148535544496486,0.00541001041661373,-0.00121441832813533,-0.996222034986906,"EB"
"13",13,30000,0.3,0.01,-1,1,-0.0237526454319831,-0.138047782299446,0.0084969743143225,-0.0112375026926298,-0.987969926296174,"EB"
"14",14,30000,0.3,0.01,-1,1,-0.022328769843543,-0.137288502423346,0.00902527986479045,-0.00560058799683227,-0.992854870600111,"EB"
"15",15,30000,0.3,0.01,-1,1,-0.0239504538510063,-0.142091453610754,0.00630357177407337,-0.00844256975584546,-0.992742088752873,"EB"
"16",16,30000,0.3,0.01,-1,1,-0.0245574807103737,-0.145674093229699,6.63024429369529e-05,-0.00864156635377648,-0.994687843727579,"EB"
"17",17,30000,0.3,0.01,-1,0.998214285714286,-0.0219287334369553,-0.134230197555092,0.00847813501543567,-0.011844941880637,-0.990414476477238,"EB"
"18",18,30000,0.3,0.01,-1,1,-0.0244392062784189,-0.143915422100785,0.0078875964532017,-0.00932527230529639,-0.993184201236002,"EB"
"19",19,30000,0.3,0.01,-1,1,-0.0245813889488575,-0.1474020654504,0.00487872401362997,-0.00138293305735368,-0.996201713013028,"EB"
"20",20,30000,0.3,0.01,-1,1,-0.0222717373622455,-0.137161306322235,0.0102763835531556,-0.0023326447811223,-0.992913803955896,"EB"
