"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.0274845245978742,-0.11261856898042,0.0638703195333353,-0.0606891696748596,-0.873890498192597,0,0.0107530019291143,0.0159667902158823,0.0269277530850053,0.0251445027850049,0.0570966961375849,"EB"
"101",3e+05,0.3,0.01,-1,0.859264027694275,-0.000373352243470667,-0.0102375697258286,0.00427275500544435,-0.00499368622921545,-0.683104887272115,0.0449897094351669,0.000100049373270402,0.00194912737216433,0.00298122569328212,0.0033996663572077,0.0805974788327432,"EB"
"201",30000,0.8,0.01,-1,0.863345472422602,-0.00369614200617077,-0.031812849036347,0.0117364436248542,-0.0195092724189608,-0.674329436097289,0.0483997947998263,0.00103725128870743,0.00616364830459636,0.0102634133466437,0.0122152762113192,0.0773695028476725,"EB"
"301",3e+05,0.8,0.01,-1,0.552516154420033,-1.36067930941272e-05,-0.000514212033829152,-3.81374129169684e-05,-2.51604587372615e-05,-0.0746832909902292,0.0125473247400285,3.12775560380334e-06,0.000118349142326947,0.000368643878919606,0.000423466894026343,0.0167770818810149,"EB"
"401",30000,0.3,0.001,-1,0.814530303030303,-0.00295593737923843,-0.0240867793264211,0.00724060263890193,0.00187177835153677,-0.3385323708969,0.22803546030031,0.00422104089442438,0.0241502131347243,0.0395929367729785,0.0402319026811743,1.34628287544118,"EB"
"501",3e+05,0.3,0.001,-1,0.445129263632828,-4.03352521382089e-06,-0.000149232416686818,9.8793795779868e-05,-0.000134631937620213,-0.0200226691156521,0.0500683949117594,1.10921888656956e-05,0.000412835013487315,0.00124911960800781,0.00115771418217442,0.0621590352995824,"EB"
"601",30000,0.8,0.001,-1,0.45671183898864,-0.000104884804197019,-0.00120215717625998,-0.000104473422150773,-0.00180081862300741,-0.0510473726914684,0.056513743538034,0.00015497579596089,0.00173921301825842,0.00337635710048176,0.00407394309177399,0.0762636570019402,"EB"
"701",3e+05,0.8,0.001,-1,0.338555107133425,6.92621177475987e-06,0.000250933652296824,-0.000758868652735273,0.000687078851008473,0.0376925312597619,0.0233386956661897,5.98350242860911e-06,0.00021372164445923,0.000710604707996542,0.000884481778275478,0.0323895071360005,"EB"
"801",30000,0.3,0.01,0,1,-0.0421120581107025,-0.127874205530701,0.0508484687605121,-0.0139700103564455,-0.956853572153134,0,0.0800002551636642,0.0944539691129103,0.0938386702346234,0.0314864150010492,0.0565262576258049,"EB"
"901",3e+05,0.3,0.01,0,0.797390857742303,-0.000138376659951459,-0.00571186042407334,0.002481616858552,-0.00246011613752286,-0.617029487171912,0.0480748638535115,2.19932773209991e-05,0.000677103605952493,0.00180038695647662,0.00213642071456334,0.0600741298926832,"EB"
"1001",30000,0.8,0.01,0,0.816852635576477,-0.00148944673524495,-0.0189280538504992,0.00755194249253331,-0.0116273174788104,-0.624556440420776,0.0523475239668719,0.000249163166542218,0.00243739198550682,0.00640555035614213,0.00784142309771884,0.0640599687871308,"EB"
"1101",3e+05,0.8,0.01,0,0.549869618880739,-1.01643457985075e-05,-0.000477475179469205,0.000177953740997609,-0.000239126514291166,-0.0857759317640978,0.0126260702068931,1.49658556091828e-06,6.92346330425921e-05,0.000299280099860629,0.000328253127858962,0.0119053896675185,"EB"
"1201",30000,0.3,0.001,0,0.78097668997669,-0.0011986579366327,-0.0155521817933788,0.00695774229277094,-0.00330504707531843,-0.459441381277359,0.180589155945045,0.000992197624124055,0.01054885345409,0.0219886465401064,0.0212341180660057,0.861923393435181,"EB"
"1301",3e+05,0.3,0.001,0,0.440209633745133,-4.28137875252772e-06,-0.000196501632219205,0.000335377177602499,-0.000292602922507206,-0.0346731985388175,0.0475201649087772,5.17039003264463e-06,0.00023596010308384,0.00095554656141863,0.00100789207330915,0.042438336523871,"EB"
"1401",30000,0.8,0.001,0,0.449729426319765,-4.44791829571382e-05,-0.000648051011983861,0.000722654869009576,-0.00062527006885258,-0.0356996110338599,0.0526127768584571,6.8963862643828e-05,0.000989595043734756,0.00299341800017432,0.0036275375299657,0.0562602592405144,"EB"
"1501",3e+05,0.8,0.001,0,0.324187971235399,8.89954598598092e-06,0.000359396830641354,-0.000843074516801452,0.000828214258311395,0.0612431524339184,0.0238557399424279,8.08483749576639e-06,0.000314719686017086,0.00080439958252966,0.00081784947532754,0.053565637450083,"EB"
"1601",30000,0.3,0.01,1,1,-0.022957292409283,-0.107153323895172,0.0135980892963679,-0.0516584614758765,-0.897800576658527,0,0.00856599262456824,0.0218987839925459,0.0566055289554663,0.020073131148602,0.0426238187432595,"EB"
"1701",3e+05,0.3,0.01,1,0.756401972826854,-9.79905559999813e-05,-0.00439602372711195,0.00174526104404789,-0.0017269568055782,-0.54796196518197,0.0561553781869474,1.66965438405558e-05,0.000678117181793533,0.00157508060936977,0.00182925601087037,0.0646721011739603,"EB"
"1801",30000,0.8,0.01,1,0.767480319493217,-0.00106733390487079,-0.0147385740765721,0.0053013488886679,-0.00731261976888074,-0.560706974179078,0.0422602883208427,0.000163947408072574,0.00193713291740725,0.00531282807903594,0.00505923481105211,0.0567391836708124,"EB"
"1901",3e+05,0.8,0.01,1,0.543009985206479,-6.45463194349935e-06,-0.000328862684546422,0.000142310674091727,-0.00016135315824733,-0.0647861591080788,0.0138433518327191,1.09693959290577e-06,5.49835008070679e-05,0.000266429954130205,0.000312262822548208,0.0104005479649234,"EB"
"2001",30000,0.3,0.001,1,0.753607739568653,-0.000972447360467348,-0.0122640929163209,0.0089789024147129,-0.0108103726157921,-0.450665767655588,0.174094771255785,0.000605001283449987,0.00621471044220385,0.015068333100821,0.0200590220806487,0.25033260611507,"EB"
"2101",3e+05,0.3,0.001,1,0.427012401495655,-1.5755182146029e-06,-7.93583064273162e-05,0.000125555570321812,-6.08887572060966e-05,-0.0147079517777119,0.052225843007883,4.87605532492506e-06,0.000243500476566204,0.000993595148096179,0.000909302343323073,0.0493174287004924,"EB"
"2201",30000,0.8,0.001,1,0.426550527221679,-2.41176671371601e-05,-0.000375355431425101,0.000295038353038583,-0.00109123996549279,-0.0218340664195831,0.0561327228341682,5.39853804105652e-05,0.000840056502828634,0.00320176473200311,0.00328111949177591,0.0525035451206401,"EB"
"2301",3e+05,0.8,0.001,1,0.317269667500211,9.51651069027561e-06,0.000432633928928275,-0.000862643290032391,0.00100225320704004,0.0831837826358838,0.0233601018832815,5.83791285074838e-06,0.000262355615452941,0.000657946986604826,0.000796794644041455,0.0513125671309908,"EB"
"11",30000,0.3,0.01,-1,1,-0.0262375555792086,-0.103036061879257,0.0710066617868051,-0.0751640064714081,-0.832183507969029,0,0.0103458408047922,0.016559401503862,0.0241225882624439,0.0276692489865135,0.0541691145841491,"FIQT"
"1011",3e+05,0.3,0.01,-1,0.722168258114075,-0.000359688160245944,-0.00968405689789108,-0.00683825668006924,0.0054231112785575,-0.6376486406835,0.0575076732649946,0.000146085900119759,0.00339528738495139,0.00226890136089134,0.00237488720845419,0.152214022806395,"FIQT"
"2011",30000,0.8,0.01,-1,0.715113888519054,-0.00345805277063968,-0.0289920584466849,-0.0259176807410076,0.012129862536844,-0.607803641711959,0.066255348080608,0.00151362824058921,0.0113057230929128,0.00798449470414236,0.00836284790312635,0.162618427537746,"FIQT"
"3011",3e+05,0.8,0.01,-1,0.436758469208242,5.5615528984018e-05,0.00192171960872869,-0.00716483857912568,0.0073473897704844,0.306054244969372,0.00907271351287939,9.42257497561504e-06,0.000310140607162619,0.00034983220698899,0.000369934500225866,0.0541569358418559,"FIQT"
"4011",30000,0.3,0.001,-1,0.582182178932179,-0.00193421335478024,-0.0122972792343334,-0.0437137877719524,0.0294940753886912,0.335882052246242,0.214864659500322,0.00606211076115334,0.035203997267426,0.0250142717892851,0.0282708309231015,2.94836665691396,"FIQT"
"5011",3e+05,0.3,0.001,-1,0.375450332794382,0.000155183703281936,0.00485750280297108,-0.010908448274678,0.0115768405624195,0.864533364291834,0.0275391518232494,3.40333331941922e-05,0.000979033058287876,0.00106623372805024,0.0011229143110073,0.229741241478824,"FIQT"
"6011",30000,0.8,0.001,-1,0.374764131426778,0.00148628743768797,0.014657668250055,-0.0335728946820315,0.0375858983336774,0.826587582795746,0.0296672638294023,0.000505907427297866,0.00465826903844937,0.00311683551139716,0.00426793456118265,0.335363359647627,"FIQT"
"7011",3e+05,0.8,0.001,-1,0.388226084464002,7.79782014890487e-05,0.00259605552618094,-0.00605571180713685,0.00746152032552138,0.420901544159924,0.0181897704080209,2.00705921560113e-05,0.000616212398577015,0.000701099660239693,0.000881780778315169,0.116470205936999,"FIQT"
