"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"1",1,30000,0.3,0.01,0,0.971689497716895,-0.000572891596207738,-0.0125218910461856,0.0136406320335255,-0.012954658505791,-0.429765776444365,"EB"
"2",2,30000,0.3,0.01,0,0.976875884851345,-0.000575020878383931,-0.012548615013977,0.0135982385603003,-0.0135939456092669,-0.429952725766744,"EB"
"3",3,30000,0.3,0.01,0,0.972836841158482,-0.000577718154002345,-0.0126551625144115,0.0128743393457426,-0.0134713267357088,-0.434095051384345,"EB"
"4",4,30000,0.3,0.01,0,0.978837555886736,-0.000594312641786837,-0.0129325213090968,0.013736778434461,-0.0135447458472337,-0.439228698059553,"EB"
"5",5,30000,0.3,0.01,0,0.970665884423585,-0.000582310433218609,-0.0129521552675169,0.0121929215637934,-0.0131329876847981,-0.447314526823136,"EB"
"6",6,30000,0.3,0.01,0,0.982621208766881,-0.000591916399361328,-0.0126637142460417,0.0145755699283702,-0.0140892375444457,-0.42635286624921,"EB"
"7",7,30000,0.3,0.01,0,0.968583057746121,-0.000584794547685955,-0.0128828389009543,0.0129682173370702,-0.012788509640737,-0.442130846188368,"EB"
"8",8,30000,0.3,0.01,0,0.978899294716152,-0.000568096105069237,-0.0127052911901999,0.0121113602097363,-0.0134561875167156,-0.442549367002257,"EB"
"9",9,30000,0.3,0.01,0,0.973910872550243,-0.000581045060311755,-0.0127721508458931,0.0126722680157532,-0.0134396400780079,-0.438413808858287,"EB"
"10",10,30000,0.3,0.01,0,0.979883566776183,-0.000562977819961802,-0.0122506461168978,0.0128962120956352,-0.0149520897065682,-0.420943933322114,"EB"
"11",11,30000,0.3,0.01,0,0.973690666012511,-0.000563068057755715,-0.0126094259978476,0.0128701818620046,-0.0127955852212565,-0.440396567829253,"EB"
"12",12,30000,0.3,0.01,0,0.973421131397785,-0.000585755451545653,-0.0129762223698328,0.0128091392093677,-0.0128520344655468,-0.446555914099529,"EB"
"13",13,30000,0.3,0.01,0,0.967999519692603,-0.000570503324328336,-0.0126472913150134,0.0123295720991407,-0.0133980674179345,-0.437955722211439,"EB"
"14",14,30000,0.3,0.01,0,0.974602391813586,-0.000563671638294565,-0.012420647930511,0.0129265226118433,-0.013624075654234,-0.42976183760378,"EB"
"15",15,30000,0.3,0.01,0,0.977364397086268,-0.000576074537634222,-0.0125759194848156,0.0129944694614202,-0.0136518422810527,-0.430802662770619,"EB"
"16",16,30000,0.3,0.01,0,0.967490788066088,-0.000570596176229526,-0.0126680640470313,0.0128573842253599,-0.0129771714280379,-0.43902369019487,"EB"
"17",17,30000,0.3,0.01,0,0.966083916083916,-0.000561901225031662,-0.0128914853065152,0.0123653875663243,-0.0112067080453271,-0.45650956335476,"EB"
"18",18,30000,0.3,0.01,0,0.968649118450459,-0.000569801952670595,-0.0125833854024504,0.012809174508604,-0.0127149420590824,-0.434918609592269,"EB"
"19",19,30000,0.3,0.01,0,0.96480344369184,-0.000578700344243414,-0.0128630786243214,0.012063751049287,-0.0128001592383735,-0.444686583029631,"EB"
"20",20,30000,0.3,0.01,0,0.974584075142734,-0.000569444867554713,-0.0126603774325318,0.0129812699818003,-0.0128660847526393,-0.43929988187168,"EB"
"21",21,30000,0.3,0.01,0,0.972308080489497,-0.000584875993522213,-0.0128311436485542,0.0134403555985658,-0.0129376464826605,-0.439319864403572,"EB"
"22",22,30000,0.3,0.01,0,0.962055109070034,-0.000569091295157899,-0.0124471796311046,0.0138164131674778,-0.0125492709572319,-0.427975789519405,"EB"
"23",23,30000,0.3,0.01,0,0.975482143943542,-0.00057231367739294,-0.0126474587026087,0.0127702120578535,-0.0137100731647875,-0.436882021640097,"EB"
"24",24,30000,0.3,0.01,0,0.97891212406015,-0.000591401382254952,-0.0129211547301242,0.0133675287449329,-0.0134591332148886,-0.440310045701871,"EB"
"25",25,30000,0.3,0.01,0,0.971292144645665,-0.000567913443990611,-0.0125643636514543,0.0134948759558609,-0.0125485091817316,-0.435018756487039,"EB"
"26",26,30000,0.3,0.01,0,0.980677747107535,-0.000576837214330395,-0.0126444092162711,0.0137948687647004,-0.0132890678320078,-0.434035871507082,"EB"
"27",27,30000,0.3,0.01,0,0.965321527896021,-0.000551761097676872,-0.0123488941796176,0.0126736123406784,-0.0126460584420882,-0.433067309949213,"EB"
"28",28,30000,0.3,0.01,0,0.959907922501439,-0.000568607443921797,-0.012730160533248,0.0123888421803905,-0.0116136238505156,-0.443588001000557,"EB"
"29",29,30000,0.3,0.01,0,0.969322969204296,-0.000574168295222501,-0.0125372964645119,0.0136367579182477,-0.0126908614274221,-0.429844402165963,"EB"
"30",30,30000,0.3,0.01,0,0.971322000733765,-0.000554502004963994,-0.0125010590079808,0.0126536651173675,-0.0121262449241186,-0.439733279596439,"EB"
"31",31,30000,0.3,0.01,0,0.962124071976847,-0.00056760125593493,-0.012606621406977,0.0125417370315033,-0.0124718941499629,-0.437496885093787,"EB"
"32",32,30000,0.3,0.01,0,0.976059792128927,-0.000583340688686084,-0.0129421295082917,0.0132605511466012,-0.0127130510630482,-0.446163893682996,"EB"
"33",33,30000,0.3,0.01,0,0.972901993553778,-0.000572322116001703,-0.0127412365855508,0.0126737784509047,-0.0130441153466534,-0.441942773194592,"EB"
"34",34,30000,0.3,0.01,0,0.986585893552575,-0.000599728370543314,-0.0132150646682151,0.0135605393138706,-0.0131271201719191,-0.451047348312384,"EB"
"35",35,30000,0.3,0.01,0,0.956067607773628,-0.000550571791970154,-0.0123112230469121,0.0121651737689286,-0.0124256527816704,-0.431727699845884,"EB"
"36",36,30000,0.3,0.01,0,0.985034013605442,-0.000593054788683016,-0.0128559553363393,0.0136262356600218,-0.0141972283882396,-0.43589335935054,"EB"
"37",37,30000,0.3,0.01,0,0.975539483741989,-0.000583153865766721,-0.0127317323675461,0.0130598560419929,-0.0138499931863418,-0.435013267478327,"EB"
"38",38,30000,0.3,0.01,0,0.970539596986587,-0.000580632895624675,-0.0127271965396265,0.0132485039078867,-0.0130022442578726,-0.436246659869292,"EB"
"39",39,30000,0.3,0.01,0,0.972423546049143,-0.000555529292693273,-0.0124405445429158,0.0122439684607752,-0.013182786252085,-0.435781849783675,"EB"
"40",40,30000,0.3,0.01,0,0.974532806696929,-0.000578834515455222,-0.0127264379045213,0.0129004997894639,-0.01331393778079,-0.437264943556226,"EB"
"41",41,30000,0.3,0.01,0,0.96910029061147,-0.000575432411123367,-0.0125159836890132,0.013398518562411,-0.0134108713853028,-0.427956956516442,"EB"
