"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.943643561091041,-0.00181352864826373,-0.0340282350569113,-0.951064589661913,0.00995095178250702,0.000108435918735782,0.00143720838442757,0.00765175321415335,"EB"
"101",3e+05,0.3,0.01,-1,0.597215510585262,-1.98809376952715e-05,-0.00159278833549109,-0.401263380945271,0.00856739064349885,1.66371116976882e-06,0.000113874272468755,0.0195455992223107,"EB"
"201",30000,0.8,0.01,-1,0.759416658460449,-0.000900858555702735,-0.0174781705200545,-0.75624399159799,0.0125043898565532,5.46237167898572e-05,0.000803917832317972,0.0150722903495938,"EB"
"301",3e+05,0.8,0.01,-1,0.547411809716217,-9.60719488525548e-06,-0.000876883866041249,-0.274241782136971,0.0116761500999575,1.03925121031482e-06,8.5906688554365e-05,0.0212131937996483,"EB"
"401",30000,0.3,0.001,-1,0.788279913330825,-0.00120600933157668,-0.0218986135299817,-0.813296417931094,0.0157697861036016,8.76282424310089e-05,0.00140683539347362,0.0244819708251816,"EB"
"501",3e+05,0.3,0.001,-1,0.608789892633418,-7.52779949757771e-05,-0.00509011714848814,-0.761371991742416,0.0213855611150804,5.83749225247427e-06,0.000324390983775821,0.0219930682887355,"EB"
"601",30000,0.8,0.001,-1,0.689324503650122,-0.000914268089314023,-0.0178054486247657,-0.763584267748093,0.0224841113755792,7.41825635297349e-05,0.00131388337533283,0.0295775532751038,"EB"
"701",3e+05,0.8,0.001,-1,0.573864905993242,-6.88311410277196e-05,-0.0047681041275694,-0.745995527184489,0.0176761620854529,5.49099813333343e-06,0.000311862979817603,0.0229501362272402,"EB"
"801",30000,0.3,0.01,0,0.921310241647842,-0.00173484253620144,-0.0338547042410766,-0.958052691679262,0.0110735869397203,0.00010422173745617,0.00131724329485488,0.00719987512585205,"EB"
"901",3e+05,0.3,0.01,0,0.597845656277157,-2.37269492192154e-05,-0.00205283225658732,-0.512266808274668,0.0108889766680748,1.69538329272127e-06,0.000111587700203358,0.015017514672009,"EB"
