"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"1",30000,0.3,0.01,0,0.986415196273149,-0.000866392698658277,-0.0140222637047458,0.0203699880598247,-0.0207412641973539,-0.370079279992744,0.0182121818908332,8.75485181295156e-05,0.00129598909853717,0.00313736660331205,0.0032363834800751,0.0333291192563756,"EB"
"101",3e+05,0.3,0.01,0,0.686707220435693,-6.64612289485819e-06,-0.000715830412517437,0.000854893716938367,-0.000863162264273439,-0.143154237931779,0.0129729414256389,5.82301583966505e-07,5.61152590187445e-05,0.000177665740649967,0.000193016240842362,0.0096265291815404,"EB"
"201",30000,0.8,0.01,0,0.869407801140156,-0.000321167182661586,-0.00776067816514583,0.00865266404727358,-0.00868284373658387,-0.315940742558747,0.026643282939895,3.16161183533971e-05,0.000660913013092073,0.0016086274695048,0.00176157784704221,0.0244073278684686,"EB"
"301",3e+05,0.8,0.01,0,0.607484427309245,-2.13031845262848e-06,-0.000254353833365689,0.000422470276570315,-0.000411868350436675,-0.058938998847405,0.0090789511716446,2.24235695943761e-07,2.58948528222801e-05,0.000119172729442353,0.000125991309048052,0.00569826260052381,"EB"
"401",30000,0.3,0.001,0,0.730966933680018,-0.00012399479354471,-0.00340779152252317,0.00475871766359952,-0.00489667249132007,-0.171306108609009,0.0412585925142329,2.21652785387756e-05,0.000550445345905893,0.00169858603042202,0.00194473058077544,0.0249332468483711,"EB"
"501",3e+05,0.3,0.001,0,0.566798359089091,-8.48376207408988e-07,-0.000102313613519862,0.000283755432429963,-0.000292237522961556,-0.0243692870942111,0.0140871764127729,2.23218349456606e-07,2.64017913216868e-05,0.000225353581224584,0.000224531663819109,0.00614179998248839,"EB"
"601",30000,0.8,0.001,0,0.632001558547457,-3.53860810814661e-05,-0.00121375145614984,0.00196326877489306,-0.00200017736834148,-0.0799065242004253,0.0244473062637768,7.27584344393506e-06,0.000241054014921125,0.00120506486269494,0.00106370586896322,0.0152290813111201,"EB"
"701",3e+05,0.8,0.001,0,0.488813373827858,-2.04934219003966e-07,-2.50999766031896e-05,0.000174763008289565,-0.000167066734440437,-0.00612024909579649,0.0493956628885033,1.60848503181398e-07,1.97576847133668e-05,0.000201171193501014,0.000188311493602594,0.00483149486432091,"EB"
"11",30000,0.3,0.01,0,0.986230360652808,-0.000944604820315871,-0.0157204744845593,0.0186551097165407,-0.0189001791750006,-0.414801239650859,0.0211162076272672,9.54753956613158e-05,0.00146144538666598,0.00284349044650819,0.00348540044238322,0.0364910147335854,"EB_df"
"1011",3e+05,0.3,0.01,0,0.701765275690011,-5.70959420377689e-06,-0.000607882009156788,0.0012237107910614,-0.0011813300234903,-0.121558449829471,0.0130840817868624,5.56448336976594e-07,5.43209542307417e-05,0.000329785446594051,0.00031462201688775,0.00964059884084418,"EB_df"
"2011",30000,0.8,0.01,0,0.870686558162959,-0.000325445502237004,-0.00788841745347032,0.00860356513025646,-0.00843621825288651,-0.321098735712165,0.0272731976977806,3.31669610314994e-05,0.000704138608696678,0.00175731345900884,0.00203286358308939,0.0258386086034943,"EB_df"
"3011",3e+05,0.8,0.01,0,0.569613166215122,-1.43684281435812e-06,-0.000169839696879577,7.58620635965017e-05,-6.84972938950846e-05,-0.0393256423996517,0.0209470136590209,3.34668512936311e-07,3.93512144155726e-05,0.000218051861174512,0.000217447698487354,0.00892704768609519,"EB_df"
"4011",30000,0.3,0.001,0,0.747116922935995,-0.000113640074648872,-0.00310328424272087,0.00602853462352039,-0.00595283173190977,-0.156104347827317,0.0437743227097573,2.42144220754259e-05,0.000641562743224083,0.00227728952060851,0.00254575179460431,0.0307769635489044,"EB_df"
"5011",3e+05,0.3,0.001,0,0.404177061137571,4.21439621598961e-06,0.000474901080689392,-0.00119890161792296,0.00125936225447525,0.113492418868173,0.0283971502910592,1.0353519917745e-06,0.000113473500185664,0.000483740667484332,0.000484779255856803,0.0280698777141789,"EB_df"
"6011",30000,0.8,0.001,0,0.449170285146065,-7.23346662253078e-06,-0.000243558385869815,0.00174244962033851,-0.0017853752842395,-0.0157028445002306,0.072492183639744,1.57875423793631e-05,0.000521171882902883,0.00206357595710752,0.00216060091308753,0.0344747172252334,"EB_df"
"7011",3e+05,0.8,0.001,0,0.4360643989511,2.02581097789252e-06,0.000240128073787256,-0.000974125710994794,0.00102153595347967,0.0587318290871953,0.0213989613651424,5.33617989716492e-07,6.26001492165458e-05,0.000318128602191834,0.000297727588047334,0.0155836536597729,"EB_df"
"12",30000,0.3,0.01,0,0.988861972417402,-0.000893526277230569,-0.0145994614893168,0.0196899124968381,-0.0202368648669035,-0.385307174441601,0.0170321232493922,8.98104746992002e-05,0.00136114516814879,0.00325980318264438,0.00331031043562126,0.0349918424300231,"EB_scam"
"1012",3e+05,0.3,0.01,0,0.688896295176127,-6.67477387815446e-06,-0.000719173042628425,0.00089791545437212,-0.00089544407657679,-0.143824336798437,0.0128400039664599,5.77273340536895e-07,5.53877118675624e-05,0.000173378522182348,0.000190371236033304,0.00945381028716455,"EB_scam"
"2012",30000,0.8,0.01,0,0.871332411039032,-0.000324859451342913,-0.00787009146204591,0.00858878992053792,-0.00862371021606679,-0.320410457389073,0.0262315301926198,3.0895540627836e-05,0.000631281882537473,0.00154864183791188,0.00169802477228247,0.023201805761169,"EB_scam"
