"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"1",1,30000,0.3,0.01,-1,1,-0.00262082118257322,-0.0267517775461424,0.0356081680443261,100,-0.428989751239156,"EB"
"2",2,30000,0.3,0.01,-1,1,-0.000865731709418529,-0.0257005749619655,100,0.00399236508028745,-0.865544972151416,"EB"
"3",3,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"4",4,30000,0.3,0.01,-1,1,-0.00105697861347786,-0.0277749135525768,100,-0.00514012023987471,-0.843836701724623,"EB"
"5",5,30000,0.3,0.01,-1,1,-0.00192767980475699,-0.0307299273253585,0.0225486651993527,-0.00188444532027637,-0.657608443366188,"EB"
"6",6,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"7",7,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"8",8,30000,0.3,0.01,-1,1,-0.00483093079646073,-0.046194680070982,100,-0.0291914818487346,-0.612774001151267,"EB"
"9",9,30000,0.3,0.01,-1,1,-0.00110274862817963,-0.0236187430916149,100,0.01153540645322,-0.671862166982365,"EB"
"10",10,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"11",11,30000,0.3,0.01,-1,1,-0.00210524530403713,-0.0311631691343401,0.0181961948197998,100,-0.631352729003843,"EB"
"12",12,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"13",13,30000,0.3,0.01,-1,1,-0.000697880203137161,-0.0235022039746921,0.000764499270682301,0.00431117466202852,-0.88360048170686,"EB"
"14",14,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"15",15,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"16",16,30000,0.3,0.01,-1,1,-0.00305269098133899,-0.0436368321848045,-0.0131599591527424,100,-0.768297489297733,"EB"
"17",17,30000,0.3,0.01,-1,1,-0.00198021677154893,-0.038351214900719,-0.00049670033554379,-0.00691025331087276,-0.852391684605742,"EB"
"18",18,30000,0.3,0.01,-1,1,-0.000447401713654099,-0.0157489343496709,100,0.00632972289036251,-0.713310333072006,"EB"
"19",19,30000,0.3,0.01,-1,1,-0.00013446184429421,-0.00466230027821214,-0.0120889682864035,100,-0.278325206250976,"EB"
"20",20,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"21",21,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"22",22,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"23",23,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"24",24,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"25",25,30000,0.3,0.01,-1,1,-0.000551081204007072,-0.0187839183646169,-0.00494546327583963,0.00558891133457692,-0.780681566728316,"EB"
"26",26,30000,0.3,0.01,-1,1,-0.000606258808503284,-0.018574455098113,-0.00703246541907997,100,-0.725368561426266,"EB"
"27",27,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"28",28,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"29",29,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"30",30,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"31",31,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"32",32,30000,0.3,0.01,-1,1,-0.000934788385881311,-0.0293854517050564,0.00121290655468884,100,-0.960360404163104,"EB"
"33",33,30000,0.3,0.01,-1,1,-0.000867826855336179,-0.0217456464693376,100,0.00908121346320205,-0.705412309814395,"EB"
"34",34,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"35",35,30000,0.3,0.01,-1,1,-0.000787610247226997,-0.0270275228466565,100,0.00105676084938591,-0.962371806921505,"EB"
"36",36,30000,0.3,0.01,-1,1,-0.00208736540996323,-0.0317929835846384,100,-0.0169309621710105,-0.652512498558317,"EB"
"37",37,30000,0.3,0.01,-1,1,-0.000558687147677837,-0.0137869154649567,-0.0133680412626339,100,-0.50771266561985,"EB"
"38",38,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"39",39,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"40",40,30000,0.3,0.01,-1,1,-0.000519649851264412,-0.0104365568386493,-0.0047268621206656,0.0171472597018331,-0.346569026855034,"EB"
"41",41,30000,0.3,0.01,-1,1,-0.000801566282568342,-0.0280425450686543,100,-0.000270694913811577,-0.990439281623042,"EB"
"42",42,30000,0.3,0.01,-1,1,-0.000665928097956436,-0.0125846171940411,-0.0201657110506393,100,-0.384259269098631,"EB"
"43",43,30000,0.3,0.01,-1,1,-0.00749154668961814,-0.0808786490323846,100,0.00587417588994365,-0.932288361846396,"EB"
"44",44,30000,0.3,0.01,-1,1,-0.000801540882015471,-0.0229994200495834,100,0.00592553113971297,-0.795141187933769,"EB"
"45",45,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"46",46,30000,0.3,0.01,-1,1,-0.000476502937099414,-0.0161197894584091,-0.00672016608762082,100,-0.705771490050517,"EB"
"47",47,30000,0.3,0.01,-1,1,-0.000296098190043858,-0.0104105345403036,-0.00901581757892764,100,-0.535897551758964,"EB"
"48",48,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"49",49,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"50",50,30000,0.3,0.01,-1,1,-0.00206122788521421,-0.0314078970547824,0.0171098989202582,100,-0.647347976625728,"EB"
"51",51,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"52",52,30000,0.3,0.01,-1,1,-0.00068332929200389,-0.0231823411813478,-0.00314697183114694,100,-0.880476492886331,"EB"
"53",53,30000,0.3,0.01,-1,1,-0.00193807516244812,-0.0387127251524501,100,0.00567513746434309,-0.872146638072273,"EB"
"54",54,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"55",55,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"56",56,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"57",57,30000,0.3,0.01,-1,0,0.000196254006946164,0.00486395253211269,100,0.0226063103750407,0.274143525633569,"EB"
"58",58,30000,0.3,0.01,-1,1,-0.00104013231813609,-0.0305553443935017,-0.00174279245160865,100,-0.94604046481175,"EB"
"59",59,30000,0.3,0.01,-1,1,-5.96953424148416e-05,-0.00183027047592599,100,0.015392657298722,-0.106269415971199,"EB"
"60",60,30000,0.3,0.01,-1,1,-0.000331383172979157,-0.0106852990478899,-0.0112455667209124,0.00895237007515787,-0.512505279360908,"EB"
"61",61,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"62",62,30000,0.3,0.01,-1,1,-0.00898337396945195,-0.083732616099559,100,-0.0117769100169451,-0.876693870278663,"EB"
"63",63,30000,0.3,0.01,-1,1,-0.000324237879283141,-0.0109910992697665,-0.00925447087375831,100,-0.542889095829282,"EB"
"64",64,30000,0.3,0.01,-1,1,-4.33038437053366e-05,-0.00114005013296016,100,0.0184220536383824,-0.0582785034925677,"EB"
"65",65,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"66",66,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"67",67,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"68",68,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"69",69,30000,0.3,0.01,-1,1,-0.00187114614312863,-0.0371690868451623,-0.00560430961848212,0.00518522133815864,-0.849476724278453,"EB"
